dataset,experiment,descripcion_experimento,model_family,model,model_display_name,scaler,use_pca,n_components_pca,rebalanceo,rebalanceo_short,n,B_accuracy_mean,B_accuracy_std,B_detection_latency_seconds_mean,B_detection_latency_seconds_std,B_f1_macro_mean,B_f1_macro_std,B_f1_weighted_mean,B_f1_weighted_std,B_fit_time_mean,B_fit_time_std,B_fnr_macro_mean,B_fnr_macro_std,B_fnr_weighted_mean,B_fnr_weighted_std,B_fpr_macro_mean,B_fpr_macro_std,B_fpr_weighted_mean,B_fpr_weighted_std,B_mcc_mean,B_mcc_std,B_precision_macro_mean,B_precision_macro_std,B_precision_weighted_mean,B_precision_weighted_std,B_recall_macro_mean,B_recall_macro_std,B_recall_weighted_mean,B_recall_weighted_std,B_roc_auc_mean,B_roc_auc_std,B_score_time_mean,B_score_time_std,source_file
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,500,0.0081953181292475,0.0051668087754425,1.5775925077928457e-06,8.421242551816438e-08,0.0363596854386921,0.0184852611046275,0.009014844245542,0.0061510683233079,0.0019554615020751,0.0002507375436543,0.7099466965175086,0.0175668455638229,0.9918046818707524,0.0051668087754426,0.0667198844733703,0.0004562963578194,0.0089935852298023,0.0017403092030136,-0.0043015785485961,0.0137816483346788,0.1008883961293314,0.0384855505640555,0.8267962414395299,0.0175046912756534,0.2900533034824915,0.0175668455638228,0.0081953181292475,0.0051668087754425,0.5002205828424083,0.0034900435980152,0.6362869262695312,0.0339654735189576,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,1000,0.0224705570264729,0.0043986096876776,1.7026788570017223e-06,9.190676316541167e-08,0.0451670137327656,0.0172197265186076,0.0266073204628539,0.006275813115954,0.003314733505249,0.0004058624829238,0.6165254681698445,0.0274761029356047,0.9775294429735272,0.0043986096876776,0.0658209174880418,0.0003237864934237,0.0097843193471001,0.0015094256325303,0.0098046588606893,0.0106157822760423,0.1050133472212572,0.0362333172544141,0.8371455178791193,0.0108402855766935,0.3834745318301554,0.0274761029356047,0.0224705570264729,0.0043986096876776,0.5062046332009156,0.0024348349899569,0.6867377281188964,0.0370688091993988,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,2000,0.0349646138867351,0.0035266244151415,1.898663409850914e-06,2.6436446572381613e-08,0.0518768816496593,0.0018877998724153,0.0371787988657053,0.007384719544128,0.0064828872680664,3.105551858825854e-05,0.4936074657341307,0.0267466097121154,0.9650353861132648,0.0035266244151415,0.0649979329737299,0.0002001197853045,0.0099336084926836,0.0006078046309605,0.0276664029665719,0.0063693928646916,0.1009758234117968,0.0070869447655234,0.8397300752994956,0.0080964350958566,0.5063925342658692,0.0267466097121154,0.0349646138867351,0.0035266244151415,0.5126020137519588,0.0014098874495718,0.7657837390899658,0.0106628311467935,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,5000,0.0571108665568178,0.0112463025942494,2.315968852806178e-06,9.441486421646657e-08,0.0705503577463779,0.0070894250127748,0.0574792266335916,0.013956636759787,0.0193262100219726,0.0002445586637655,0.3932989552850209,0.0333347335994071,0.9428891334431824,0.0112463025942494,0.063471970382387,0.0008266108889742,0.0091904222926227,0.0012544581762277,0.0612484300175964,0.0148458673170293,0.1150627522953301,0.0061121075245653,0.8473431390380781,0.0053401196620918,0.6067010447149791,0.0333347335994071,0.0571108665568178,0.0112463025942494,0.5292025285354471,0.009247312902757,0.9340946197509764,0.0380800806841488,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,10000,0.0780585915855637,0.0223558525888142,2.538658860024214e-06,1.1812143441687407e-07,0.0950714036426999,0.01298230112512,0.0865856216445095,0.0347550804491476,0.044189167022705,0.0047003257678912,0.3645890170105514,0.0336622563442787,0.9219414084144364,0.0223558525888142,0.0624506968351507,0.0016064749379267,0.0148190441128252,0.0019984862064995,0.073530930392065,0.0201095878754293,0.1326901481473101,0.0071274678448146,0.8545047637545128,0.0033196570731721,0.6354109829894485,0.0336622563442786,0.0780585915855637,0.0223558525888142,0.5346954382681215,0.0154300671980995,1.023911714553833,0.047642237253872,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,20000,0.0953100667269664,0.0173844453221601,2.851933276026585e-06,8.558263169798861e-08,0.1208841485370967,0.0122077806758046,0.0947138924438524,0.020554553774557,0.0903332233428955,0.0004674991664273,0.341445826072754,0.0330236173178656,0.9046899332730336,0.0173844453221601,0.0619051263016342,0.0012382241119434,0.0238869612514807,0.0015110929628583,0.0922172366883217,0.0235177646248596,0.1494233636032663,0.004704323734035,0.8605285519327989,0.0026100161399214,0.6585541739272459,0.0330236173178656,0.0953100667269664,0.0173844453221601,0.5393700754654048,0.0151633862406596,1.1502639770507812,0.0345179994766532,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,30000,0.1139435464477516,0.0131855032996717,2.9409938842048004e-06,4.4588935848336834e-08,0.1309646310163153,0.0109655504174752,0.1022001963010375,0.0150090314088182,0.1674547672271728,0.0260472763857653,0.3236347000282765,0.0286093541443958,0.8860564535522484,0.0131855032996717,0.0607064124800087,0.0009433157646223,0.0245397336478825,0.0018526311655639,0.123979738835633,0.0188305256565147,0.1505259562443919,0.0048210464705259,0.8604612652030358,0.0025157683181954,0.6763652999717235,0.0286093541443957,0.1139435464477516,0.0131855032996717,0.5460320369347894,0.0083521224602083,1.1861845970153808,0.0179842846042045,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_knn,RobustScaler + PCA + NearMiss_SMOTE + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE,NM_SMOTE,40000,0.1293488822101219,0.0073208116560083,2.8417534342477253e-06,6.071091452360932e-08,0.1323451461904125,0.0064382102009363,0.1147738162746048,0.0092894476217321,0.2030372142791748,0.010321484706432,0.3116024624136483,0.0261276877203773,0.8706511177898779,0.0073208116560083,0.0597093153158793,0.0005603242079433,0.0249886119483123,0.0014223119433608,0.1424182847907267,0.0089888230562309,0.1490026823073489,0.0040298936814644,0.8609601931103553,0.0027947165053243,0.6883975375863516,0.0261276877203773,0.1293488822101219,0.0073208116560083,0.5545041698208785,0.0056630019861647,1.1461581707000732,0.0244869821869162,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,500,0.0160871625605108,0.0040989172290421,1.4149875873663004e-06,3.5226208271753555e-08,0.0411878223481008,0.015594489274004,0.0232608459780139,0.0078560190217692,0.0018861770629882,5.2436479500438586e-05,0.7029464903599087,0.0234563766682168,0.9839128374394892,0.0040989172290422,0.0663195875163601,0.0003183298015084,0.0108809753059126,0.0021970905226529,-0.0037798311689838,0.0127901695027365,0.1025271351852835,0.0341073600027962,0.8342559434971133,0.0091876303662073,0.2970535096400912,0.0234563766682168,0.0160871625605108,0.0040989172290421,0.5019049283149155,0.0028561291805014,0.5707038402557373,0.014208182554969,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
CIC17,A2__RobustScaler_pca_NM_SMOTE_ENN_knn,RobustScaler + PCA + NearMiss_SMOTE_ENN + knn,knn,knn,KNeighborsClassifier,RobustScaler,True,3,NearMiss_SMOTE_ENN,NM_SMOTE_ENN,1000,0.0253813419119691,0.0052316662607648,1.5245891065098743e-06,2.2013220306082493e-08,0.04603739964403,0.014675004922703,0.0304400927423899,0.0079169016889595,0.0037233829498291,0.0009168139156026,0.5995105656761995,0.0280958048916991,0.9746186580880308,0.0052316662607648,0.0657964849451966,0.0003387925683931,0.0123286160899191,0.0024549032354895,0.0077447873277047,0.0107358178538778,0.1049926744370715,0.033743988156618,0.8357800333270603,0.0098624063619878,0.4004894343238005,0.0280958048916991,0.0253813419119691,0.0052316662607648,0.5071518795132839,0.0025733636475052,0.6149091720581055,0.0088787052368243,05_results/CIC17/fase_A2_sampling_size/knn/A2__RobustScaler_pca_NM_SMOTE_ENN_knn/reports/CIC17__A2__RobustScaler_pca_NM_SMOTE_ENN_knn__cv_summary.csv
